,location,start,stop
0,BR,48,49
1,BR,73,87
2,TL,133,149
3,TL,177,198
4,BR,415,436
5,TL,557,582
6,TL,593,594
7,TL,604,614
8,TL,664,671
9,BR,761,764
10,BR,795,801
11,TL,1043,1052
12,TL,1062,1068
13,TL,1069,1070
14,BR,1369,1384
15,BR,1395,1407
16,BR,1420,1430
17,BR,1440,1443
18,BR,1445,1448
19,BR,1449,1462
20,BR,1535,1558
21,BR,1565,1569
22,TL,2107,2123
23,TL,2173,2177
24,TL,2179,2180
25,TL,2249,2265
26,TL,2306,2308
27,TL,2320,2321
28,TL,2337,2344
29,BR,2449,2450
30,BR,2465,2473
31,BR,2484,2495
32,BR,2611,2631
33,BR,2633,2635
34,BR,2636,2637
35,BR,2638,2641
36,BR,2707,2721
37,BR,2722,2740
38,BR,2853,2872
39,BR,2944,2953
40,TL,3352,3361
41,TL,3379,3384
42,TL,3385,3389
43,TL,3392,3398
44,TL,3421,3430
45,BR,3560,3571
46,BR,3591,3592
47,BR,3599,3607
48,TL,3894,3924
49,TL,3943,3978
50,TL,3990,3998
51,BR,4541,4583
52,BR,4599,4641
53,BR,4662,4673
54,BR,4912,4915
55,BR,4974,5029
56,TL,5082,5099
57,TL,5110,5118
58,TL,5141,5171
59,BR,5307,5308
60,BR,5310,5318
61,TL,6011,6021
62,BR,6171,6177
63,BR,6188,6189
64,BR,6209,6214
65,BR,6227,6272
66,BR,6547,6551
67,TL,6728,6844
68,TL,6925,6927
69,TL,6929,6942
70,TL,6951,6954
71,TL,6957,6976
72,TL,6978,6982
73,BR,7238,7245
74,BR,7276,7278
75,BR,7304,7325
76,TL,7513,7520
77,TL,7525,7550
78,BR,7813,7955
79,BR,8000,8014
80,BR,8015,8020
81,BR,8051,8055
82,TL,8670,8682
83,TL,8701,8711
84,TL,8712,8743
